participant,model,choice_only,objective,success,best_start_index,message,log_k_R,log_k_L,log_beta,alpha,delta_L,log_b,log_sigma
hrqn8w6vu,M1,False,351.3373545751357,True,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.6616834573822066,2.605074645230966,0.40204970491219344,0.624937787279234,0.1848134083846745,-4.026771424418556,-0.8369683244538415
ig1j8ozi9,M1,False,373.86607408144977,True,10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.739292980958778,0.4539152214354763,0.00042007160798078784,0.7564772754661712,0.15153343290343266,-3.006074750131806,-0.890195035294039
iogaivfgt,M1,False,378.9390349323534,True,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.17519207509970985,-1.1467702844881476,0.5034032023290974,1.0131362858571118,0.3141763097121906,-3.119136321647282,-1.0536960736998993
ir0t9ca41,M1,False,335.23563323187494,True,9,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.23634704181357263,-1.2347007872261093,-0.17874947440573727,0.3270345549013304,0.2734445513404427,-2.555194878188481,-0.7182693382424838
jtf46arcd,M1,False,361.87295072003434,True,17,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.519030140455986,-2.2220890438213523,0.3782710910072208,0.4564613656901746,0.515892177942412,-4.229928679963811,-0.7715698796290745
kimjztxjq,M1,False,428.39008038085416,True,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.6017372732396624,-0.1773079773118317,0.45499346740636915,1.1411495209314282,0.10212213348707713,-3.3090607864742894,-0.9221228823334101
kqi5vqk0e,M1,False,214.26660799294464,True,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.60517,-0.6679620200164539,1.4189777246325272,-0.23414439861187467,0.604562868143144,-3.4965888766502937,-0.7115500301074293
ljm2sl8s0,M1,False,296.7455279368684,True,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.013840883760067466,-0.8781362476850072,1.4540886768051577,0.7970277074760169,-0.030202969399522328,-3.1437314294378065,-1.0371243813599118
mu73zwng6,M1,False,354.88996764859735,True,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.6077288427593318,0.6375946111359898,0.04162153188191473,0.5506192550080091,0.15852005784478723,-3.0673305340043133,-0.7684720540135064
n08qsd76x,M1,False,319.36312793652894,True,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.27939299941319906,0.15295669680505636,0.6139126522206071,0.677711194638513,0.2145419506608727,-2.813539478045639,-0.9793242399520008
nvbinkqjq,M1,False,346.4252407017063,False,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.5098570191406134,-0.4392804610474744,0.5934809865865741,0.78193088159421,0.06270104729512202,-3.207360875378528,-0.9702549020476068
o7piq7dwr,M1,False,187.19894120846,True,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.60517,-2.502022997877587,-1.1326133780439849,-0.016605805809959,0.3717188169374797,-5.162926662397107,-1.0880338478490466
od96gfdym,M1,False,354.63365687860227,False,9,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.2163093339856905,-0.8283388172949101,0.010575815394569107,0.6297072748644491,-0.07155625696930332,-3.59103010085741,-0.8440050289419693
omy06qkfz,M1,False,115.2851519294707,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.60517,-2.3263540403805996,-4.60517,-0.5688834946888471,0.163280987412904,-5.272699380811299,-1.063411334032824
orxx7nl6z,M1,False,145.0000384722103,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.60517,-2.7594479682078186,-1.5154279968565543,-0.5530326260175784,0.3031711749027697,-5.5513759791312305,-0.7630678116755318
p5lejwwzi,M1,False,266.90683177805323,False,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.09662244222301768,0.6099627651278293,-3.0064003980596983,0.11525733781914835,-0.32920357262914807,-4.306600179182793,-0.6785671713387
qhp782ect,M1,False,341.2437968988392,True,10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1918044101126322,3.523025154652398,0.029032753861060873,0.5216981218299731,0.36468033762604374,-3.5712928081771884,-0.9125885374270997
