generating_model,replicate,sample_kind,participant,run,fitted_model,fit_success,condition,run_b_rt_mlpd,n_rt,out_of_support_trial_fraction,n_in_support,n_out_of_support,in_support_rt_mlpd,out_of_support_rt_mlpd
M1,33,nominal,M1_nominal_0033,B,M3,True,R,-1.4138852948353908,100,0.03,97,3,-1.4187156105250462,-1.257705087536536
M1,33,nominal,M1_nominal_0033,B,M3,True,L,-1.5987983750283856,100,0.02,98,2,-1.5874327948168352,-2.155711805394367
M1,34,nominal,M1_nominal_0034,B,M1,True,R,-1.2933347904143218,100,0.0,100,0,-1.2933347904143218,
M1,34,nominal,M1_nominal_0034,B,M1,True,L,-1.3981541616826676,100,0.02,98,2,-1.39111112205123,-1.7432631036231134
M1,34,nominal,M1_nominal_0034,B,M2,True,R,-1.291844237035356,100,0.07,93,7,-1.314883877680999,-0.9857461541718148
M1,34,nominal,M1_nominal_0034,B,M2,True,L,-1.3968200541790445,100,0.01,99,1,-1.400878640092244,-0.9950200487722929
M1,34,nominal,M1_nominal_0034,B,M3,True,R,-1.294225011265835,100,0.0,100,0,-1.294225011265835,
M1,34,nominal,M1_nominal_0034,B,M3,True,L,-1.398121117950882,100,0.0,100,0,-1.398121117950882,
M1,35,nominal,M1_nominal_0035,B,M1,True,R,-1.0255375326636504,100,0.0,100,0,-1.0255375326636504,
M1,35,nominal,M1_nominal_0035,B,M1,True,L,-1.4118369652735019,100,0.0,100,0,-1.4118369652735019,
M1,35,nominal,M1_nominal_0035,B,M2,True,R,-1.0329104923481087,100,0.0,100,0,-1.0329104923481087,
M1,35,nominal,M1_nominal_0035,B,M2,True,L,-1.426071935471349,100,0.0,100,0,-1.426071935471349,
M1,35,nominal,M1_nominal_0035,B,M3,True,R,-1.0266763430391033,100,0.0,100,0,-1.0266763430391033,
M1,35,nominal,M1_nominal_0035,B,M3,True,L,-1.422469376873371,100,0.0,100,0,-1.422469376873371,
M1,36,nominal,M1_nominal_0036,B,M1,True,R,-1.7010469438195492,100,0.06,94,6,-1.6806918664776098,-2.0199431555099263
